nExec,energy, exec_time, cpu_time, memory, heap_size, heap_alloc, heap_free, pss_low, pss_med, pss_high
1,124.56734,65.684,71.633,414.637,15.846,12.733,3.112,221.0,380.0,540.0,
2,127.16914,68.484,73.761,422.133,15.758,12.648,3.109,403.0,518.0,633.0,
3,137.3449,73.3,79.639,414.291,15.766,12.698,3.067,230.0,230.0,230.0,
4,123.84518,71.579,77.566,420.742,15.706,12.555,3.15,492.0,515.0,538.0,
5,99.28397,98.777,106.698,421.009,15.91,12.708,3.201,543.0,543.0,543.0,
6,82.5889,105.234,113.255,416.132,15.79,12.62,3.169,362.0,368.0,374.0,
7,83.11306,103.35,112.64,420.755,16.114,12.669,3.444,542.0,601.0,660.0,
8,83.11306,104.949,113.319,421.389,15.766,12.463,3.302,539.0,545.0,551.0,
9,80.32273,102.941,110.735,416.25,16.022,12.761,3.26,835.0,835.0,835.0,
10,88.31063,110.841,120.463,420.704,15.662,12.525,3.136,264.0,350.0,436.0,
11,83.72498,104.54,113.083,419.263,16.018,12.753,3.264,230.0,234.0,239.0,
12,81.49118,104.561,112.68,421.094,15.842,12.742,3.099,231.0,461.0,691.0,
13,83.84472,104.811,114.666,421.361,15.658,12.487,3.17,495.0,516.0,536.0,
14,82.07957,103.506,112.912,421.062,15.482,12.398,3.083,538.0,538.0,538.0,
15,82.91639,105.622,114.931,324.923,248.848,239.353,9.494,549.0,640.0,732.0,
16,90.8915,113.626,124.528,25.569,16.09,12.905,3.184,519.0,519.0,519.0,
17,82.28704,104.044,113.742,423.148,15.85,12.7,3.149,541.0,541.0,541.0,
18,80.34066,103.05,110.897,422.779,15.957,12.644,3.312,235.0,437.0,539.0,
19,88.4047,110.128,121.389,422.232,15.754,12.534,3.219,536.0,537.0,538.0,
20,81.80928,107.053,114.284,422.998,16.066,12.78,3.285,230.0,385.0,539.0,
21,89.57484,111.458,123.141,25.483,15.97,12.679,3.29,539.0,541.0,543.0,
22,85.61005,109.132,118.745,423.217,15.646,12.488,3.157,540.0,542.0,544.0,
23,80.3286,105.741,112.132,420.384,15.814,12.642,3.171,239.0,463.0,687.0,
24,89.52988,113.112,123.981,420.317,15.642,12.487,3.154,543.0,543.0,543.0,
25,84.272,107.446,117.703,421.201,15.862,12.694,3.167,525.0,525.0,525.0,
26,81.49702,105.205,114.835,420.683,15.482,12.483,2.998,230.0,384.0,538.0,
27,85.14832,107.742,117.854,420.376,15.658,12.486,3.171,232.0,382.0,532.0,
28,86.75489,109.815,120.615,420.129,15.834,12.696,3.137,539.0,606.0,673.0,
29,80.91281,105.593,112.987,420.453,15.818,12.703,3.114,683.0,683.0,683.0,
30,77.96448,99.501,107.782,420.496,15.878,12.703,3.174,535.0,537.0,539.0,
31,84.35275,110.167,119.147,420.518,15.91,12.616,3.293,817.0,817.0,817.0,
32,88.47875,110.868,122.059,421.237,15.838,12.704,3.133,538.0,585.0,632.0,
33,80.44823,103.157,111.118,419.856,15.95,12.832,3.117,235.0,235.0,235.0,
34,80.09777,104.617,112.414,420.543,15.936,12.72,3.216,643.0,750.0,856.0,
35,99.20383,108.409,139.923,425.9,16.702,13.443,3.258,234.0,234.0,234.0,
36,86.04414,110.684,120.572,421.112,15.772,12.571,3.2,691.0,691.0,691.0,
37,80.11505,103.278,112.375,421.494,15.761,12.663,3.097,373.0,449.0,525.0,
38,84.16418,107.439,116.624,421.462,16.093,12.888,3.204,541.0,541.0,541.0,
39,82.57345,106.877,115.196,421.227,16.028,12.83,3.197,539.0,539.0,539.0,
40,82.86268,106.257,115.57,421.689,15.913,12.685,3.227,0.0,0.0,0.0,
41,88.93638,114.175,125.004,422.341,15.9,12.674,3.225,636.0,641.0,645.0,
42,84.0614,107.813,117.707,423.516,16.049,12.864,3.184,545.0,545.0,545.0,
43,89.41471,114.051,124.137,422.243,16.157,13.014,3.142,0.0,0.0,0.0,
44,82.6965,106.337,116.055,420.179,15.757,12.698,3.058,539.0,539.0,539.0,
45,84.42234,109.835,119.061,421.271,15.788,12.65,3.137,539.0,540.0,540.0,
