nExec,energy, exec_time, cpu_time, memory, heap_size, heap_alloc, heap_free, pss_low, pss_med, pss_high
1,11.693,4.13,7.279,76.892,30.639,22.986,7.652,0.0,0.0,0.0,
2,5.99978,4.069,3.669,82.853,31.463,23.532,7.93,0.0,0.0,0.0,
3,6.02948,4.069,3.699,82.769,31.227,23.539,7.687,0.0,0.0,0.0,
4,6.0737,4.045,3.674,82.94,31.627,23.538,8.088,0.0,0.0,0.0,
5,5.92628,4.211,3.723,82.817,31.242,23.453,7.788,0.0,0.0,0.0,
6,6.04422,4.13,3.69,93.32,31.579,23.591,7.987,0.0,0.0,0.0,
7,6.05896,4.126,3.686,93.127,31.183,23.591,7.591,0.0,0.0,0.0,
8,6.0737,4.174,3.741,93.391,31.667,23.604,8.062,0.0,0.0,0.0,
9,5.83783,4.287,3.822,82.839,31.187,23.545,7.641,0.0,0.0,0.0,
10,5.91154,4.263,3.769,93.481,31.371,23.588,7.782,0.0,0.0,0.0,
11,6.11793,4.059,3.698,82.503,31.567,23.445,8.121,0.0,0.0,0.0,
12,5.97051,3.983,3.655,93.023,31.731,23.609,8.121,0.0,0.0,0.0,
13,6.01474,4.178,3.727,82.517,31.259,23.556,7.702,0.0,0.0,0.0,
14,6.01474,4.085,3.603,82.435,31.559,23.56,7.998,0.0,0.0,0.0,
15,5.80835,4.244,3.822,82.15,31.075,23.48,7.594,0.0,0.0,0.0,
16,6.04422,4.043,3.69,92.644,31.299,23.528,7.77,0.0,0.0,0.0,
17,6.05896,4.042,3.608,82.613,31.63,23.473,8.156,0.0,0.0,0.0,
18,6.0737,4.107,3.696,83.261,32.259,23.472,8.786,0.0,0.0,0.0,
19,6.10319,4.032,3.587,92.63,31.615,23.623,7.991,0.0,0.0,0.0,
20,6.05896,4.129,3.664,82.562,31.739,23.573,8.165,0.0,0.0,0.0,
21,6.1182,4.153,3.699,82.378,31.395,23.592,7.802,0.0,0.0,0.0,
22,6.10335,4.077,3.623,82.322,31.514,23.508,8.005,0.0,0.0,0.0,
23,5.9994,4.046,3.651,81.837,31.235,23.529,7.705,0.0,0.0,0.0,
24,5.8509,4.234,3.838,92.396,31.251,23.573,7.677,0.0,0.0,0.0,
25,6.10335,4.159,3.764,82.242,31.259,23.613,7.645,0.0,0.0,0.0,
26,5.89545,4.232,3.86,82.012,31.186,23.51,7.675,0.0,0.0,0.0,
27,6.1182,4.109,3.658,82.174,31.511,23.528,7.982,0.0,0.0,0.0,
28,6.01425,4.12,3.766,92.296,31.214,23.568,7.645,0.0,0.0,0.0,
29,6.07365,4.182,3.656,82.181,31.399,23.611,7.787,0.0,0.0,0.0,
30,6.1182,4.061,3.699,82.063,31.323,23.615,7.707,0.0,0.0,0.0,
31,6.16275,4.155,3.713,82.047,31.474,23.509,7.964,0.0,0.0,0.0,
32,6.1182,4.086,3.681,82.047,31.698,23.49,8.207,0.0,0.0,0.0,
33,5.9994,4.135,3.682,81.919,31.555,23.574,7.98,0.0,0.0,0.0,
34,5.7456,4.09,3.676,81.807,31.239,23.574,7.664,0.0,0.0,0.0,
35,5.7744,4.11,3.652,81.844,31.579,23.564,8.014,0.0,0.0,0.0,
36,5.7744,4.008,3.665,81.402,31.379,23.573,7.805,0.0,0.0,0.0,
37,5.5008,4.249,3.671,81.318,31.231,23.477,7.753,0.0,0.0,0.0,
38,5.832,4.175,3.704,81.355,31.406,23.492,7.913,0.0,0.0,0.0,
39,5.9328,4.036,3.623,81.809,31.67,23.48,8.189,0.0,0.0,0.0,
40,6.03832,4.169,3.737,81.501,31.295,23.512,7.782,0.0,0.0,0.0,
41,6.05304,4.038,3.623,81.624,31.411,23.581,7.829,0.0,0.0,0.0,
42,5.83213,4.213,3.797,81.303,31.19,23.507,7.682,0.0,0.0,0.0,
43,6.00886,4.179,3.652,81.603,31.675,23.494,8.18,0.0,0.0,0.0,
44,5.99413,4.196,3.694,81.431,31.343,23.489,7.853,0.0,0.0,0.0,
45,5.9205,4.273,3.747,81.582,31.359,23.5,7.858,0.0,0.0,0.0,
