nExec,energy, exec_time, cpu_time, memory, heap_size, heap_alloc, heap_free, pss_low, pss_med, pss_high
1,42.04109,40.061,58.043,459.864,35.783,25.454,10.328,0.0,0.0,0.0,
2,44.11354,40.072,59.502,330.229,33.573,25.51,8.062,0.0,0.0,0.0,
3,43.22534,39.562,58.098,435.744,33.37,25.456,7.913,0.0,0.0,0.0,
4,43.47367,38.674,58.762,463.119,33.037,25.384,7.652,0.0,0.0,0.0,
5,42.53155,38.283,57.112,467.238,32.818,25.344,7.473,0.0,0.0,0.0,
6,45.47491,41.578,61.635,327.043,33.718,25.574,8.143,0.0,0.0,0.0,
7,44.3988,40.585,59.635,464.547,33.263,25.621,7.641,0.0,0.0,0.0,
8,45.58277,41.497,61.606,337.174,33.31,25.687,7.622,0.0,0.0,0.0,
9,44.84279,40.224,59.897,334.635,33.458,25.335,8.122,0.0,0.0,0.0,
10,43.39332,39.622,58.634,451.497,33.198,25.466,7.731,0.0,0.0,0.0,
11,43.59859,39.422,59.094,464.482,33.57,25.675,7.894,0.0,0.0,0.0,
12,43.7449,40.672,59.844,336.034,33.039,25.557,7.481,0.0,0.0,0.0,
13,43.15968,39.736,58.631,465.07,33.49,25.387,8.102,0.0,0.0,0.0,
14,42.72077,39.419,57.782,470.226,33.138,25.456,7.681,0.0,0.0,0.0,
15,44.43386,40.806,60.147,460.13,33.497,25.354,8.142,0.0,0.0,0.0,
16,43.25681,39.697,58.674,495.148,33.13,25.546,7.583,0.0,0.0,0.0,
17,43.70184,40.191,59.333,456.274,33.81,25.578,8.231,0.0,0.0,0.0,
18,43.78097,39.71,59.251,330.739,33.058,25.465,7.592,0.0,0.0,0.0,
19,42.75256,39.083,57.914,376.26,33.146,25.389,7.756,0.0,0.0,0.0,
20,42.16489,39.314,56.779,321.644,33.042,25.487,7.554,0.0,0.0,0.0,
21,40.98956,37.95,55.463,331.283,32.77,25.356,7.413,0.0,0.0,0.0,
22,42.87578,38.736,58.433,327.048,32.933,25.314,7.618,0.0,0.0,0.0,
23,40.39657,37.711,54.886,446.434,32.674,25.258,7.415,0.0,0.0,0.0,
24,40.39657,37.604,54.621,445.203,32.978,25.337,7.64,0.0,0.0,0.0,
25,44.22103,40.27,60.061,328.89,33.526,25.301,8.224,0.0,0.0,0.0,
26,43.63726,40.832,59.628,414.606,32.991,25.581,7.409,0.0,0.0,0.0,
27,40.42649,37.783,54.755,445.697,32.769,25.171,7.597,0.0,0.0,0.0,
28,40.86432,38.198,55.375,249.093,32.87,25.237,7.632,0.0,0.0,0.0,
29,40.99961,37.957,54.767,445.915,33.013,25.201,7.811,0.0,0.0,0.0,
30,43.27402,38.883,58.873,325.765,33.547,25.346,8.2,0.0,0.0,0.0,
31,40.49629,37.645,54.574,455.298,33.038,25.269,7.768,0.0,0.0,0.0,
32,42.39684,39.131,57.47,458.586,33.734,25.36,8.373,0.0,0.0,0.0,
33,44.15119,39.792,60.225,461.52,33.083,25.588,7.494,0.0,0.0,0.0,
34,42.98162,39.748,58.089,325.476,33.406,25.398,8.007,0.0,0.0,0.0,
35,42.39684,38.336,57.281,339.68,33.291,25.431,7.859,0.0,0.0,0.0,
36,43.42021,39.928,58.763,324.657,33.254,25.302,7.951,0.0,0.0,0.0,
37,42.49789,39.522,58.177,357.385,32.978,25.295,7.682,0.0,0.0,0.0,
38,42.49789,38.84,57.944,425.033,33.282,25.264,8.017,0.0,0.0,0.0,
39,40.9698,37.749,55.516,320.929,32.734,25.148,7.585,0.0,0.0,0.0,
40,43.011,40.06,58.834,408.607,32.947,25.444,7.502,216.0,341.0,409.0,
41,42.8652,39.119,58.47,369.698,33.098,25.47,7.627,0.0,0.0,0.0,
42,40.98632,38.19,55.87,322.299,33.017,25.188,7.828,0.0,0.0,0.0,
43,40.61794,37.837,55.273,444.87,32.845,25.232,7.612,0.0,0.0,0.0,
44,43.52962,40.685,59.829,487.402,33.645,25.506,8.138,0.0,0.0,0.0,
45,43.38403,39.981,59.506,342.861,33.207,25.5,7.706,0.0,0.0,0.0,
