nExec,energy, exec_time, cpu_time, memory, heap_size, heap_alloc, heap_free, pss_low, pss_med, pss_high
1,11.30215,11.169,10.92,61.989,17.115,13.48,3.634,0.0,0.0,0.0,
2,11.37638,10.952,10.833,63.809,20.203,13.533,6.669,0.0,0.0,0.0,
3,11.36203,10.9,10.895,63.75,20.195,13.535,6.659,0.0,0.0,0.0,
4,11.30786,10.936,10.844,61.011,16.971,13.446,3.524,0.0,0.0,0.0,
5,11.33638,10.867,10.918,61.17,17.115,13.445,3.669,0.0,0.0,0.0,
6,11.46472,10.979,10.934,61.169,17.123,13.479,3.643,0.0,0.0,0.0,
7,11.47898,10.877,10.923,61.209,17.115,13.445,3.669,0.0,0.0,0.0,
8,11.47898,11.0,10.928,63.828,20.195,13.572,6.622,0.0,0.0,0.0,
9,11.49324,11.075,10.901,61.2,17.119,13.447,3.671,0.0,0.0,0.0,
10,11.47898,10.936,10.962,61.182,17.111,13.444,3.666,0.0,0.0,0.0,
11,11.09397,10.94,10.245,61.215,17.119,13.447,3.671,0.0,0.0,0.0,
12,11.65009,10.823,11.552,61.174,17.079,13.447,3.632,0.0,0.0,0.0,
13,11.32212,10.98,10.956,61.203,17.111,13.448,3.662,0.0,0.0,0.0,
14,11.32212,10.966,10.897,63.804,20.211,13.535,6.675,0.0,0.0,0.0,
15,11.33638,10.93,10.925,61.137,17.115,13.446,3.668,0.0,0.0,0.0,
16,11.37916,11.044,11.006,60.861,17.115,13.479,3.635,0.0,0.0,0.0,
17,11.4362,10.83,10.91,60.812,17.115,13.497,3.617,0.0,0.0,0.0,
18,11.5075,10.985,10.93,60.851,17.115,13.449,3.665,0.0,0.0,0.0,
19,11.5075,10.804,10.89,63.494,20.203,13.541,6.661,0.0,0.0,0.0,
20,11.32212,10.957,10.93,60.832,17.115,13.478,3.636,0.0,0.0,0.0,
21,11.39342,11.08,10.893,60.873,17.115,13.452,3.662,0.0,0.0,0.0,
22,11.47898,10.941,10.899,62.204,20.203,13.555,6.647,0.0,0.0,0.0,
23,11.26448,11.008,10.985,59.484,17.115,13.435,3.679,0.0,0.0,0.0,
24,11.22208,10.837,10.938,59.476,17.055,13.436,3.618,0.0,0.0,0.0,
25,11.22208,10.966,10.918,59.479,17.115,13.432,3.682,0.0,0.0,0.0,
26,11.32101,10.823,10.897,59.501,17.123,13.465,3.658,0.0,0.0,0.0,
27,11.36341,10.929,10.886,62.105,20.199,13.519,6.679,0.0,0.0,0.0,
28,11.32101,10.885,10.891,59.506,17.115,13.442,3.672,0.0,0.0,0.0,
29,11.39168,10.955,10.937,62.049,20.203,13.521,6.681,0.0,0.0,0.0,
30,10.66429,11.588,11.546,53.093,17.111,13.448,3.662,0.0,0.0,0.0,
31,11.15997,10.852,10.887,55.6,20.195,13.536,6.658,0.0,0.0,0.0,
32,11.35824,10.866,10.831,53.06,17.115,13.446,3.668,0.0,0.0,0.0,
33,11.21662,10.839,10.897,52.315,17.115,13.448,3.666,0.0,0.0,0.0,
34,11.3016,10.987,10.985,52.319,17.111,13.484,3.626,0.0,0.0,0.0,
35,11.47154,10.991,10.944,52.336,17.115,13.445,3.669,0.0,0.0,0.0,
36,11.42906,10.937,10.941,51.977,17.343,13.572,3.77,0.0,0.0,0.0,
37,11.37241,10.931,10.922,51.569,17.111,13.446,3.664,0.0,0.0,0.0,
38,11.3016,10.814,10.899,51.486,17.115,13.482,3.632,0.0,0.0,0.0,
39,11.35824,11.015,10.918,51.484,17.111,13.498,3.612,0.0,0.0,0.0,
40,11.45958,10.955,10.972,51.539,17.135,13.449,3.685,0.0,0.0,0.0,
41,11.09444,10.89,10.866,51.536,17.115,13.446,3.668,0.0,0.0,0.0,
42,11.10849,10.984,10.922,53.425,20.199,13.542,6.656,0.0,0.0,0.0,
43,11.10849,10.954,10.991,52.813,17.115,13.478,3.636,0.0,0.0,0.0,
44,11.29631,10.965,10.932,52.884,17.115,13.447,3.668,0.0,0.0,0.0,
45,11.46682,10.812,10.857,53.128,17.067,13.478,3.588,0.0,0.0,0.0,
