nExec,energy, exec_time, cpu_time
1,"5,56732","8,988","15,291"
2,"4,10383","9,326","11,708"
3,"4,34523","9,916","12,115"
4,"3,95295","9,053","10,769"
5,"4,05856","9,228","11,279"
6,"3,87751","9,559","11,027"
7,"4,14909","9,465","11,323"
8,"3,99821","9,205","11,272"
9,"4,34523","9,801","13,18"
10,"4,23962","9,357","11,436"
11,"4,22453","9,007","11,597"
12,"4,02839","8,948","11,05"
13,"3,87751","8,871","10,576"
14,"4,134","9,221","11,271"
15,"3,96804","9,463","10,486"
16,"4,0133",9,"11,252"
17,"4,0133","8,924","10,985"
18,"3,95295","8,843","10,786"
19,"4,11891","8,875","11,224"
20,"4,07365","9,075","11,483"
21,"4,16418","9,244","11,1"
22,"4,06825","9,166","11,838"
23,"3,91813","8,895","11,249"
24,"3,79804","9,044","10,701"
25,"4,48859","9,272","11,973"
26,"3,91813","9,282","12,223"
27,"4,06825","9,255","11,244"
28,"3,94816","9,014","11,075"
29,"4,29343","9,47","12,017"
30,"3,99319","8,923","10,595"
